gvkey,number_analyst_following,ibes_year
1166,17,2020
1661,11,2020
1855,1,2020
1932,27,2020
2018,2,2020
2410,28,2020
2411,19,2020
2721,17,2020
4367,3,2020
4439,32,2020
4925,18,2020
5180,38,2020
5650,22,2020
5691,21,2020
5959,13,2020
6203,2,2020
6494,18,2020
6506,16,2020
6512,17,2020
6972,17,2020
7114,22,2020
7471,12,2020
7652,18,2020
7908,15,2020
8020,31,2020
8544,15,2020
8546,26,2020
9135,15,2020
9213,2,2020
9465,18,2020
9818,24,2020
10137,15,2020
10275,21,2020
10622,13,2020
10846,30,2020
11217,30,2020
11749,25,2020
12368,9,2020
12383,19,2020
12384,32,2020
12616,3,2020
12673,22,2020
12754,1,2020
12756,14,2020
13145,34,2020
13312,37,2020
13498,21,2020
13556,18,2020
13683,34,2020
13932,15,2020
14140,34,2020
14242,11,2020
14269,1,2020
14447,32,2020
14538,1,2020
14605,24,2020
14620,19,2020
14802,14,2020
14894,25,2020
15172,27,2020
15181,39,2020
15319,36,2020
15321,26,2020
15334,28,2020
15362,19,2020
15444,27,2020
15483,9,2020
15498,10,2020
15505,17,2020
15508,26,2020
15509,39,2020
15511,3,2020
15512,14,2020
15513,1,2020
15530,11,2020
15531,3,2020
15532,30,2020
15538,25,2020
15545,22,2020
15547,21,2020
15549,32,2020
15552,22,2020
15567,5,2020
15575,23,2020
15576,25,2020
15579,11,2020
15593,13,2020
15596,2,2020
15598,27,2020
15600,6,2020
15602,18,2020
15603,19,2020
15613,10,2020
15617,32,2020
15618,11,2020
15625,17,2020
15631,14,2020
15632,25,2020
15634,25,2020
15638,19,2020
15644,18,2020
15645,31,2020
15647,15,2020
15652,1,2020
15654,22,2020
15659,13,2020
15664,20,2020
15668,12,2020
15671,24,2020
15677,35,2020
15678,1,2020
15679,18,2020
15688,21,2020
15696,20,2020
15697,16,2020
15698,1,2020
15699,6,2020
15703,23,2020
15724,29,2020
15736,10,2020
15742,17,2020
15743,19,2020
15745,8,2020
15748,11,2020
15749,13,2020
15750,4,2020
15753,20,2020
15756,13,2020
15767,18,2020
15773,20,2020
15779,14,2020
15781,11,2020
15782,24,2020
15784,25,2020
15804,32,2020
15805,4,2020
15816,11,2020
15833,7,2020
15846,25,2020
15862,9,2020
15876,2,2020
15889,15,2020
15908,8,2020
15911,3,2020
15912,11,2020
15914,9,2020
15919,4,2020
15921,6,2020
15922,9,2020
15929,25,2020
15933,14,2020
15935,2,2020
15936,17,2020
15937,4,2020
16183,7,2020
16189,12,2020
16215,1,2020
16267,18,2020
16281,16,2020
16289,2,2020
16296,2,2020
16301,13,2020
16305,10,2020
16310,3,2020
16331,5,2020
16332,2,2020
16334,2,2020
16348,27,2020
16349,7,2020
16356,7,2020
16383,17,2020
16398,13,2020
16399,5,2020
16403,7,2020
16447,19,2020
16538,18,2020
16560,11,2020
16590,13,2020
16603,35,2020
16610,10,2020
16621,12,2020
17287,13,2020
17315,7,2020
17404,23,2020
17417,1,2020
17420,29,2020
17436,28,2020
17452,32,2020
17525,12,2020
17544,11,2020
17703,14,2020
17827,4,2020
17828,33,2020
17830,11,2020
17947,12,2020
18466,18,2020
18467,20,2020
18526,13,2020
18636,31,2020
18709,9,2020
18715,19,2020
18729,14,2020
18753,19,2020
18754,3,2020
18860,22,2020
18931,15,2020
18957,11,2020
19002,17,2020
19043,24,2020
19045,15,2020
19083,15,2020
19099,4,2020
19112,19,2020
19113,22,2020
19115,10,2020
19141,9,2020
19151,28,2020
19157,14,2020
19165,3,2020
19246,7,2020
19344,20,2020
19349,28,2020
19413,12,2020
19421,16,2020
19457,21,2020
19565,36,2020
19579,18,2020
19591,29,2020
19613,4,2020
19646,13,2020
19656,12,2020
19661,27,2020
19731,2,2020
19741,8,2020
19774,11,2020
19799,9,2020
19824,15,2020
19846,6,2020
19904,26,2020
19934,9,2020
20067,24,2020
20145,9,2020
20161,6,2020
20530,23,2020
21383,16,2020
21388,20,2020
21390,7,2020
21403,4,2020
21408,6,2020
21409,4,2020
21416,1,2020
21417,2,2020
21456,11,2020
21481,2,2020
22333,6,2020
22336,10,2020
22410,3,2020
22522,4,2020
23087,12,2020
23155,4,2020
23202,1,2020
23290,2,2020
23445,2,2020
23451,3,2020
23456,6,2020
23508,11,2020
23586,1,2020
23595,4,2020
23667,28,2020
23671,30,2020
23681,9,2020
23711,1,2020
23848,12,2020
23900,9,2020
23902,3,2020
23908,4,2020
23909,3,2020
23913,17,2020
23917,6,2020
24055,1,2020
24056,1,2020
24057,1,2020
24207,3,2020
24446,1,2020
24512,14,2020
24563,27,2020
24569,1,2020
24570,1,2020
24571,1,2020
24573,6,2020
24578,24,2020
24584,8,2020
24625,29,2020
24650,1,2020
24701,1,2020
24782,7,2020
24826,12,2020
25052,2,2020
25232,17,2020
25251,21,2020
25256,19,2020
25259,23,2020
25365,1,2020
25367,1,2020
25466,18,2020
25607,20,2020
25608,21,2020
25609,25,2020
25610,6,2020
25648,37,2020
25714,30,2020
25753,9,2020
25791,31,2020
26174,5,2020
26290,4,2020
26792,1,2020
27141,4,2020
27490,8,2020
27833,21,2020
28034,15,2020
28272,38,2020
28286,18,2020
28338,21,2020
28456,28,2020
28520,2,2020
28535,3,2020
28653,25,2020
28838,22,2020
28839,10,2020
28844,14,2020
28883,4,2020
28888,13,2020
29039,3,2020
29194,1,2020
29286,1,2020
29789,5,2020
29804,11,2020
29850,9,2020
30024,13,2020
30170,8,2020
30218,7,2020
30282,15,2020
30390,7,2020
30436,11,2020
30452,12,2020
30471,6,2020
30484,4,2020
30486,1,2020
30487,3,2020
30501,28,2020
30509,1,2020
30510,1,2020
30531,3,2020
30538,4,2020
30579,2,2020
30580,13,2020
30581,11,2020
30582,13,2020
30725,6,2020
30747,31,2020
30821,20,2020
30838,1,2020
30874,25,2020
31070,1,2020
31073,1,2020
31075,1,2020
31076,1,2020
31077,1,2020
31080,1,2020
31083,1,2020
31084,1,2020
31085,1,2020
31088,1,2020
31142,26,2020
31160,11,2020
31161,18,2020
31205,13,2020
31207,10,2020
31255,3,2020
31648,14,2020
31649,1,2020
31654,3,2020
31658,1,2020
60844,2,2020
60918,2,2020
61067,8,2020
61214,33,2020
61302,10,2020
61388,6,2020
61406,7,2020
61440,22,2020
61452,5,2020
61533,1,2020
61548,20,2020
61616,29,2020
61759,7,2020
61814,8,2020
61902,10,2020
62403,15,2020
62410,14,2020
62806,3,2020
62824,11,2020
62844,17,2020
62961,4,2020
62997,3,2020
63120,32,2020
63169,27,2020
63185,21,2020
63186,23,2020
63265,7,2020
63285,4,2020
63477,24,2020
63546,26,2020
63590,17,2020
63759,20,2020
63783,27,2020
63830,44,2020
63904,9,2020
64181,14,2020
64336,29,2020
64577,10,2020
64601,9,2020
64835,30,2020
64894,20,2020
64910,25,2020
65025,5,2020
65166,2,2020
65248,24,2020
65292,1,2020
65423,6,2020
65439,7,2020
65500,3,2020
65662,22,2020
66001,7,2020
66600,13,2020
100001,25,2020
100010,7,2020
100012,13,2020
100013,8,2020
100021,1,2020
100022,35,2020
100023,1,2020
100025,4,2020
100035,11,2020
100041,11,2020
100045,15,2020
100048,21,2020
100050,18,2020
100054,11,2020
100057,20,2020
100059,2,2020
100060,21,2020
100064,10,2020
100076,16,2020
100080,37,2020
100083,32,2020
100088,7,2020
100090,3,2020
100091,18,2020
100095,21,2020
100098,2,2020
100102,10,2020
100103,26,2020
100119,1,2020
100122,12,2020
100123,5,2020
100131,18,2020
100132,17,2020
100135,15,2020
100140,12,2020
100145,10,2020
100149,23,2020
100153,10,2020
100155,15,2020
100158,10,2020
100159,7,2020
100165,20,2020
100166,10,2020
100171,21,2020
100174,14,2020
100190,3,2020
100192,13,2020
100208,8,2020
100213,5,2020
100223,22,2020
100226,23,2020
100229,2,2020
100230,2,2020
100232,7,2020
100234,8,2020
100235,13,2020
100236,7,2020
100240,13,2020
100241,12,2020
100243,10,2020
100245,20,2020
100247,11,2020
100250,5,2020
100251,11,2020
100253,12,2020
100258,15,2020
100259,10,2020
100264,2,2020
100272,3,2020
100276,12,2020
100280,12,2020
100282,1,2020
100288,13,2020
100290,15,2020
100292,9,2020
100296,4,2020
100301,11,2020
100302,9,2020
100306,8,2020
100309,7,2020
100312,22,2020
100336,15,2020
100338,21,2020
100346,23,2020
100362,12,2020
100365,6,2020
100367,2,2020
100368,32,2020
100369,12,2020
100373,29,2020
100375,2,2020
100376,6,2020
100382,11,2020
100385,10,2020
100388,17,2020
100390,8,2020
100393,11,2020
100396,7,2020
100397,10,2020
100400,1,2020
100401,10,2020
100408,9,2020
100410,1,2020
100418,16,2020
100420,1,2020
100424,6,2020
100431,14,2020
100433,18,2020
100434,8,2020
100435,12,2020
100438,9,2020
100439,7,2020
100441,13,2020
100442,13,2020
100444,8,2020
100449,1,2020
100450,9,2020
100461,11,2020
100465,10,2020
100477,11,2020
100486,16,2020
100488,9,2020
100490,14,2020
100491,6,2020
100498,11,2020
100499,22,2020
100508,9,2020
100516,11,2020
100517,14,2020
100519,8,2020
100522,19,2020
100526,9,2020
100530,3,2020
100533,3,2020
100536,3,2020
100545,10,2020
100547,7,2020
100548,18,2020
100555,13,2020
100562,8,2020
100563,11,2020
100565,11,2020
100569,5,2020
100572,18,2020
100574,11,2020
100575,5,2020
100580,5,2020
100581,31,2020
100583,7,2020
100590,28,2020
100609,33,2020
100613,1,2020
100619,17,2020
100635,6,2020
100638,1,2020
100639,16,2020
100640,10,2020
100641,10,2020
100643,7,2020
100644,28,2020
100648,1,2020
100650,23,2020
100654,8,2020
100658,23,2020
100659,15,2020
100660,9,2020
100662,2,2020
100664,3,2020
100665,16,2020
100667,15,2020
100668,13,2020
100669,5,2020
100670,12,2020
100671,9,2020
100676,20,2020
100680,6,2020
100683,15,2020
100686,16,2020
100688,5,2020
100689,15,2020
100690,9,2020
100691,10,2020
100692,5,2020
100694,9,2020
100696,13,2020
100697,26,2020
100699,10,2020
100702,7,2020
100703,2,2020
100707,14,2020
100712,20,2020
100713,15,2020
100716,19,2020
100718,16,2020
100721,5,2020
100724,17,2020
100728,20,2020
100729,3,2020
100730,8,2020
100734,7,2020
100736,25,2020
100737,32,2020
100743,6,2020
100744,6,2020
100746,16,2020
100751,20,2020
100760,18,2020
100764,11,2020
