datadate,tocurd,exratd,usd_exratd,exchange_rate
01/01/2019,ZWL,425.4589,1.2686,0.0029817214
01/01/2019,BWP,13.6751,1.2686,0.0927671461
01/01/2019,USD,1.2686,1.2686,1
01/01/2019,ARS,47.7654,1.2686,0.0265589737
01/01/2019,AUD,1.8054,1.2686,0.7026697685
01/01/2019,BDT,106.5217,1.2686,0.0119093105
01/01/2019,BGN,2.1719,1.2686,0.5840968737
01/01/2019,BHD,0.4782,1.2686,2.6528649101
01/01/2019,BMD,1.2686,1.2686,1
01/01/2019,BRL,4.9110,1.2686,0.2583180615
01/01/2019,CAD,1.7297,1.2686,0.7334219807
01/01/2019,CHF,1.2458,1.2686,1.018301493
01/01/2019,CLP,880.3867,1.2686,0.0014409577
01/01/2019,CNY,8.7226,1.2686,0.1454382867
01/01/2019,COP,4119.6768,1.2686,0.0003079368
01/01/2019,CZK,28.4893,1.2686,0.0445289986
01/01/2019,DKK,8.2604,1.2686,0.153576098
01/01/2019,EGP,22.6290,1.2686,0.0560608069
01/01/2019,EUR,1.0988,1.2686,1.154532217
01/01/2019,GBP,1.0000,1.2686,1.2686
01/01/2019,GEL,3.3905,1.2686,0.3741631028
01/01/2019,GHS,6.1382,1.2686,0.206672966
01/01/2019,AED,4.6595,1.2686,0.2722609722
01/01/2019,HKD,9.9359,1.2686,0.1276784187
01/01/2019,HRK,8.1791,1.2686,0.1551026397
01/01/2019,HUF,355.3768,1.2686,0.0035697322
01/01/2019,IDR,18242.0175,1.2686,0.0000695427
01/01/2019,ILS,4.7510,1.2686,0.26701747
01/01/2019,INR,88.1084,1.2686,0.0143981732
01/01/2019,ISK,147.5980,1.2686,0.0085949674
01/01/2019,JMD,160.0173,1.2686,0.0079278928
01/01/2019,JOD,0.9000,1.2686,1.4095555556
01/01/2019,JPY,139.0668,1.2686,0.0091222348
01/01/2019,KES,129.1403,1.2686,0.0098234246
01/01/2019,KRW,1412.4117,1.2686,0.00089818
01/01/2019,KWD,0.3856,1.2686,3.2899377593
01/01/2019,KZT,487.1177,1.2686,0.0026042987
01/01/2019,LBP,1914.5238,1.2686,0.0006626191
01/01/2019,LKR,231.9578,1.2686,0.0054690983
01/01/2019,MAD,12.1309,1.2686,0.1045759177
01/01/2019,MOP,10.2339,1.2686,0.1239605624
01/01/2019,MUR,43.7402,1.2686,0.0290030681
01/01/2019,MWK,925.7634,1.2686,0.0013703285
01/01/2019,MXN,24.9274,1.2686,0.0508917898
01/01/2019,MYR,5.2436,1.2686,0.2419330231
01/01/2019,NAD,18.2014,1.2686,0.0696979353
01/01/2019,NGN,461.2643,1.2686,0.002750267
01/01/2019,NOK,10.9609,1.2686,0.1157386711
01/01/2019,NZD,1.8876,1.2686,0.6720703539
01/01/2019,OMR,0.4880,1.2686,2.5995901639
01/01/2019,PEN,4.2751,1.2686,0.2967415967
01/01/2019,PGK,4.2713,1.2686,0.2970055955
01/01/2019,PHP,66.1178,1.2686,0.0191869663
01/01/2019,PKR,177.3459,1.2686,0.0071532525
